Mass	Value
31,906	6,567026E-07
31,938	6,377110E-07
31,969	6,128177E-07
32,000	5,818586E-07
32,031	5,466880E-07
32,063	5,108365E-07
32,094	4,773796E-07
32,125	4,471134E-07
32,156	4,182758E-07
32,188	3,875485E-07
32,219	3,518026E-07
32,250	3,094401E-07
32,281	2,608217E-07
32,313	2,082635E-07
32,344	1,554573E-07
32,375	1,066774E-07
32,406	6,636413E-08
32,438	3,802386E-08
32,469	2,224947E-08
32,500	1,618188E-08
32,531	1,550262E-08
32,563	1,678924E-08
32,594	1,829654E-08
32,625	1,953364E-08
32,656	2,052562E-08
32,688	2,128056E-08
32,719	2,174896E-08
32,750	2,200448E-08
32,781	2,217217E-08
32,813	2,221302E-08
32,844	2,195051E-08
32,875	2,126827E-08
32,906	2,024921E-08
32,938	1,917130E-08
32,969	1,828574E-08
33,000	1,756091E-08
33,031	1,675834E-08
33,063	1,577389E-08
33,094	1,475366E-08
33,125	1,389669E-08
33,156	1,327073E-08
33,188	1,274875E-08
33,219	1,207453E-08
33,250	1,108371E-08
33,281	9,909921E-09
33,313	8,965069E-09
33,344	8,635893E-09
33,375	8,981129E-09
33,406	9,881799E-09
33,438	1,140090E-08
33,469	1,369471E-08
33,500	1,659405E-08
33,531	1,954195E-08
33,563	2,200321E-08
33,594	2,376256E-08
33,625	2,483276E-08
33,656	2,529923E-08
33,688	2,534120E-08
33,719	2,523488E-08
33,750	2,517090E-08
33,781	2,516925E-08
33,813	2,518931E-08
33,844	2,520268E-08
33,875	2,520217E-08
33,906	2,513679E-08
33,938	2,483357E-08
33,969	2,411517E-08
34,000	2,297753E-08
34,031	2,156234E-08
34,063	2,006960E-08
34,094	1,871297E-08
34,125	1,758480E-08
34,156	1,654898E-08
34,188	1,538509E-08
34,219	1,397463E-08
34,250	1,228479E-08
34,281	1,037930E-08
34,313	8,499524E-09
34,344	6,942479E-09
34,375	5,854846E-09
34,406	5,251741E-09
34,438	5,145627E-09
34,469	5,527730E-09
34,500	6,258593E-09
34,531	7,059097E-09
34,563	7,701744E-09
34,594	8,186272E-09
34,625	8,580578E-09
34,656	8,806932E-09
34,688	8,786950E-09
34,719	8,631065E-09
34,750	8,481132E-09
34,781	8,311894E-09
34,813	8,045500E-09
34,844	7,722595E-09
34,875	7,412910E-09
34,906	7,105226E-09
34,938	6,799297E-09
34,969	6,533623E-09
35,000	6,282726E-09
