,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
106,0.0031513495047116864,0.005675849014234723,0.008200348523757757,[ 1.87824206e-01  6.05043804e+01 -1.88796011e+03],[8.79553417e-04 3.12170108e-01 2.65539184e+01],[0. 0.],[0. 0.]
107,0.0031700495010785236,0.00569454901060156,0.008219048520124596,[ 1.87470458e-01  6.06355106e+01 -1.89961203e+03],[8.89340537e-04 3.14622234e-01 2.66812213e+01],[0. 0.],[0. 0.]
108,0.003188749497445361,0.0057132490069683965,0.008237748516491433,[ 1.87110069e-01  6.07683012e+01 -1.91134984e+03],[8.98885583e-04 3.16972752e-01 2.67991316e+01],[0. 0.],[0. 0.]
109,0.0032074494938121984,0.005731949003335233,0.00825644851285827,[ 1.86739914e-01  6.09038732e+01 -1.92326868e+03],[9.08184408e-04 3.19221158e-01 2.69076908e+01],[0. 0.],[0. 0.]
110,0.0032261494901790356,0.005750648999702072,0.008275148509225106,[ 1.86361168e-01  6.10417893e+01 -1.93533076e+03],[9.17233060e-04 3.21367064e-01 2.70069521e+01],[0. 0.],[0. 0.]
111,0.0032448494865458728,0.0057693489960689084,0.008293848505591945,[ 1.85973792e-01  6.11820521e+01 -1.94753578e+03],[9.26027424e-04 3.23409992e-01 2.70969571e+01],[0. 0.],[0. 0.]
112,0.0032635494829127104,0.005788048992435745,0.008312548501958781,[ 1.85575507e-01  6.13254628e+01 -1.95995053e+03],[9.34563299e-04 3.25349467e-01 2.71777501e+01],[0. 0.],[0. 0.]
113,0.0032822494792795476,0.005806748988802584,0.008331248498325618,[ 1.85172627e-01  6.14697582e+01 -1.97238426e+03],[9.42837172e-04 3.27185266e-01 2.72493954e+01],[0. 0.],[0. 0.]
114,0.0033009494756463848,0.00582544898516942,0.008349948494692457,[ 1.84761301e-01  6.16163045e+01 -1.98495163e+03],[9.50844701e-04 3.28916845e-01 2.73119282e+01],[0. 0.],[0. 0.]
115,0.0033196494720132224,0.005844148981536257,0.008368648491059293,[ 1.84340184e-01  6.17655661e+01 -1.99769083e+03],[9.58581890e-04 3.30543817e-01 2.73653985e+01],[0. 0.],[0. 0.]
116,0.0033383494683800596,0.005862848977903096,0.00838734848742613,[ 1.83910518e-01  6.19170897e+01 -2.01056336e+03],[9.66045238e-04 3.32065982e-01 2.74098702e+01],[0. 0.],[0. 0.]
